time_s,potential_V,current_A,current_uA,timestamp,mode,electrode_id,electrolyte,hold_v,hold_s,interval_s,WE,RE,CE,I_initial_uA,I_final_uA,I_min_uA,I_max_uA,charge_uC,n_points,potential_mean_V
0.0,-0.199988,-0.000133015432,-133.015432,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.1,-0.199988,-0.000790798,-790.798,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.2,-0.199988,-0.000730981,-730.981,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.30000000000000004,-0.199988,-0.000704628,-704.628,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.4,-0.199988,-0.0006844360000000001,-684.436,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.5,-0.199988,-0.00067088,-670.88,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.6000000000000001,-0.199988,-0.0006665190000000001,-666.5190000000001,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.7000000000000001,-0.199988,-0.0006629170000000001,-662.917,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.8,-0.199988,-0.0006641490000000001,-664.149,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
0.9,-0.199988,-0.000665476,-665.476,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.0,-0.199988,-0.000662158,-662.158,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.1,-0.199988,-0.0006628220000000001,-662.8220000000001,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.2000000000000002,-0.199988,-0.0006599780000000001,-659.9780000000001,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.3,-0.199988,-0.0006595990000000001,-659.599,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.4000000000000001,-0.199988,-0.0006542900000000001,-654.2900000000001,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.5,-0.199988,-0.000655049,-655.049,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.6,-0.199988,-0.000652489,-652.489,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
1.7000000000000002,-0.199988,-0.000658556,-658.556,20260702_185325,reference_restore_CA,SPE01,MgSO4,-0.2,5.0,0.1,damaged Poten Ag/AgCl reference,fresh Poten Ag/AgCl reference,fresh Poten counter electrode,-133.015432,-668.1310000000001,-790.798,-133.015432,-3247.0185216000004,50,-0.199988
